KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
524040303,0,,,43,21,22,4,1,3,39,20,19,17,10,7,37,18,19,36,17,19,22,10,12,13,6,7,6,2,4,0,0,0,0,0,0,16,16,2,7,3,2,2,0,0,14,10,4,1,12,0,1,3
524040402,0,,,330,153,177,23,13,10,307,140,167,143,72,71,302,137,165,299,135,164,164,68,96,80,32,48,28,7,21,1,0,1,1,0,1,142,142,33,63,28,9,5,3,1,109,82,27,3,110,1,26,26
524040404,0,,,44,19,25,1,0,1,43,19,24,18,11,7,42,19,23,41,18,23,25,8,17,13,3,10,2,1,1,0,0,0,0,0,0,21,21,8,7,3,2,1,0,0,12,10,2,0,17,0,5,3
524040411,0,,,288,139,149,7,4,3,281,135,146,107,58,49,274,132,142,273,131,142,174,77,97,104,43,61,35,18,17,4,1,3,1,1,0,144,144,52,60,20,6,4,2,0,92,77,15,1,121,0,41,32
524040413,0,,,324,159,165,17,11,6,307,148,159,106,53,53,303,146,157,300,143,157,201,95,106,134,56,78,62,26,36,5,2,3,24,10,14,101,98,32,37,15,6,6,1,1,66,48,18,4,65,7,13,23
524040414,0,,,134,62,72,7,5,2,127,57,70,56,27,29,127,57,70,126,57,69,71,30,41,35,11,24,12,2,10,0,0,0,4,0,4,65,65,25,23,9,6,1,0,1,40,32,8,2,49,5,17,15
524040501,0,,,33,16,17,6,4,2,27,12,15,13,6,7,26,12,14,26,12,14,14,6,8,3,1,2,1,0,1,0,0,0,0,0,0,12,12,0,8,1,1,2,0,0,12,10,2,1,8,0,0,5
524040503,1,,524040601,21,12,9,0,0,0,27,15,12,13,6,7,27,15,12,27,15,12,14,9,5,5,3,2,4,2,2,1,1,0,0,0,0,8,8,2,7,2,0,1,0,0,10,7,3,0,10,0,1,4
524040511,0,,,56,29,27,3,3,0,53,26,27,22,12,10,52,25,27,50,23,27,31,14,17,23,10,13,9,5,4,1,0,1,0,0,0,25,25,7,12,3,0,2,1,0,18,14,4,1,23,0,7,6
