KEY_CODE,pop
523900903,4
523902492,7
523902494,2
523902582,9
523902584,5
523902593,3
523902683,13
523902781,53
523902782,4
523902783,169
523902784,22
523902882,18
523902884,53
523902981,1
523902982,133
523902983,170
523902984,318
523902991,1
523902993,79
523903124,19
523903133,140
523903134,21
523903143,20
523903144,122
523903153,24
523903213,12
523903214,14
523903221,39
523903222,118
523903223,33
523903224,21
523903231,149
523903232,73
523903234,12
523903241,88
523903242,233
523903243,45
523903244,86
523903251,116
523903253,207
523903302,18
523903304,11
523903311,90
523903312,14
523903313,2
523903314,2
523903321,6
523903322,10
523903332,191
523903333,2
523903341,4
523903344,1
523903351,30
523903352,203
523903353,15
523903354,16
523903803,5
523910001,73
523910002,206
523910004,56
523910013,185
523910014,83
523910102,5
523910104,18
523910111,5
523910112,89
523910113,74
523910114,173
523910123,6
523910124,25
523910133,30
523910202,55
523910203,12
523910204,33
523910211,52
523910212,9
523910221,106
523910222,618
523910223,137
523910224,389
523910231,1247
523910232,543
523910233,728
523910234,166
523910301,11
523910302,5
523910304,8
523910312,33
523910321,178
523910322,27
523910323,40
523910331,388
523910332,54
523910333,54
523910334,136
523910343,10
523910414,19
523910421,3
523910432,145
523910441,128
523910442,2
523910444,4
523910511,11
523910512,3
523910543,1
523910544,60
523910622,21
523910633,50
523910634,212
523910641,52
523910642,405
523910643,589
523910644,428
523910651,66
523910653,224
523910722,1
523910731,95
523910732,58
523910733,16
523910734,4
523910741,77
523910742,221
523910743,147
523910744,247
523910751,234
523910753,359
523910754,90
523910804,9
523910832,50
523910834,30
523910841,65
523910842,550
523910843,39
523910844,266
523910851,122
523910852,60
523910853,24
523910854,48
523910902,27
523910903,6
523910904,26
523910911,1
523910932,20
523910934,91
523910941,141
523910942,25
523910943,12
523910951,72
523910952,66
523910953,50
523910954,103
523910961,34
523910963,9
523912081,216
523912082,398
523912083,67
523912084,187
523912091,30
523912092,1
523912093,11
523912181,260
523912182,155
523912183,75
523912184,78
523912191,9
523912193,2
523912194,12
523912281,43
523912282,27
523912283,32
523912284,109
523912291,15
523912292,18
523912293,179
523912294,40
523912381,63
523912382,35
523912383,62
523912384,18
523912391,78
523912392,98
523912393,118
523912394,104
523912481,17
523912482,29
523912484,32
523912491,31
523912492,69
523912493,11
523912494,54
523912582,24
523912591,49
523912592,27
523913021,13
523913144,7
523913201,8
523913203,79
523913214,3
523913221,4
523913222,7
523913223,5
523913224,11
523913242,1
523913301,44
523913302,7
523913303,127
523913304,75
523913312,11
523913313,13
523913314,1
523913321,17
523913322,4
523913324,8
523913332,41
523913333,96
523913334,20
523913341,2
523913401,64
523913402,28
523913403,20
523913411,109
523913413,65
523913422,30
523913431,27
523920002,5
523920011,2
523920042,15
523920051,61
523920052,43
523920053,52
523920054,83
523920061,2
523920063,23
523920151,20
523920152,200
523920153,11
523920154,78
523920161,53
523920242,1
523920252,2
523920254,49
523920261,4
523920262,2
523920263,38
523920264,6
523920273,3
523920351,29
523920352,117
523920353,16
523920354,2
523920361,84
523920362,33
523920364,9
523920371,248
523920372,47
523920373,82
523920374,99
523920434,2
523920443,2
523920461,22
523920462,37
523920463,4
523920464,83
523920471,39
523920472,157
523920474,203
523920481,136
523920483,550
523920484,100
523920493,317
523920524,1
523920531,5
523920532,12
523920533,17
523920534,6
523920572,100
523920574,161
523920581,741
523920582,263
523920583,410
523920584,282
523920591,296
523920592,28
523920593,430
523920594,145
523920622,7
523920631,2
523920633,3
523920664,32
523920671,4
523920672,220
523920673,173
523920674,219
523920681,294
523920682,258
523920683,194
523920684,176
523920691,255
523920692,146
523920693,200
523920694,218
523920714,3
523920721,35
523920722,6
523920723,23
523920731,13
523920732,2
523920762,223
523920764,100
523920771,143
523920772,213
523920773,57
523920774,160
523920781,221
523920782,260
523920783,269
523920784,279
523920791,133
523920792,99
523920793,279
523920794,192
523920821,16
523920823,20
523920824,2
523920854,2
523920862,41
523920864,13
523920872,2
523920874,14
523920881,173
523920882,204
523920883,118
523920884,250
523920891,227
523920892,74
523920893,282
523920894,55
523920962,18
523920964,14
523920971,19
523920972,16
523920973,3
523920974,68
523920981,87
523920982,280
523920983,130
523920984,197
523920991,167
523920992,74
523920994,49
523921503,21
523921601,19
523921603,244
523921604,61
523921701,185
523921702,190
523921703,71
523921704,38
523921711,7
523921801,185
523921802,15
523921803,58
