"JCODE","KEN","SI","SIKUCHOSON","自民","公明","立憲","共産","国民","社民","維新","れいわ","NHK","Total"
"01101","北海道","札幌市","中央区",37863,8721,30231.669,9412,4746.33,1856,15185,5812,2305,118550.999
"01102","北海道","札幌市","北区",36420,14144,32305.564,12130,4686.434,2223,16085,5576,2474,128523.998
"01103","北海道","札幌市","東区",32121,13142,26428.915,12400,4175.084,1774,13662,4872,2341,113160.999
"01104","北海道","札幌市","白石区",27825,12179,23161.241,8583,3818.758,1411,10564,4511,1819,95798.999
"01105","北海道","札幌市","豊平区",34742,11009,27977.246,8118,4383.753,1752,12435,4951,1987,109532.999
"01106","北海道","札幌市","南区",23612,7173,19067.907,5793,2052.092,1136,7188,2881,1195,71305.999
"01107","北海道","札幌市","西区",33593,10296,30552.441,8528,4239.557,1767,11490,4812,1930,109555.998
"01108","北海道","札幌市","厚別区",20102,7120,20465.624,6404,2265.375,1028,6021,2489,1176,68310.999
"01109","北海道","札幌市","手稲区",20684,8473,21155.025,5842,2337.974,1234,6376,3012,1123,71661.999
"01110","北海道","札幌市","清田区",17271,6993,15577.48,4368,1759.519,797,6221,2165,1032,57161.999
"01202","北海道",NA,"函館市",42115,13725,36812.326,9893,3012.673,1951,7362,4289,1787,123098.999
"01203","北海道",NA,"小樽市",16206,7750,15330.044,7353,1198.955,810,3788,2073,642,56103.999
"01204","北海道",NA,"旭川市",52981,15699,38695.361,11308,3393.638,2369,10193,5571,3381,146363.999
"01205","北海道",NA,"室蘭市",11375,4815,12810.131,3201,1316.868,897,2715,1472,589,39969.999
"01206","北海道",NA,"釧路市",24578,10837,18343.302,6875,1682.697,1144,5599,2882,992,74095.999
"01207","北海道",NA,"帯広市",29886,8567,19954.495,6471,2040.504,1212,6374,3328,1305,80744.999
"01208","北海道",NA,"北見市",18648,5385,13778.753,4406,1372.246,979,4311,2126,1087,53000.999
"01209","北海道",NA,"夕張市",1093,977,1235.99,389,70.009,97,215,147,47,4321.999
"01210","北海道",NA,"岩見沢市",12662,4991,11921.301,3166,1090.698,703,2476,1490,592,39836.999
"01211","北海道",NA,"網走市",5935,2229,4337.206,1521,407.793,230,1162,604,278,17051.999
"01212","北海道",NA,"留萌市",4152,1603,2726.768,509,231.231,152,794,388,174,10887.999
"01213","北海道",NA,"苫小牧市",21692,11376,20475.154,8036,2461.845,1175,6018,3043,1410,77271.999
"01214","北海道",NA,"稚内市",5843,2297,3249.136,1258,345.863,237,1047,582,246,15323.999
"01215","北海道",NA,"美唄市",4044,1541,2945.955,803,241.044,184,629,392,139,11074.999
"01216","北海道",NA,"芦別市",2287,1659,2093.68,627,112.319,116,363,205,108,7691.999
"01217","北海道",NA,"江別市",18815,6942,18317.882,5272,1862.117,979,4756,2463,986,61667.999
"01218","北海道",NA,"赤平市",1490,1049,1569.238,418,103.761,117,246,165,77,5312.999
"01219","北海道",NA,"紋別市",3743,992,2379.194,646,224.805,165,828,418,157,9689.999
"01220","北海道",NA,"士別市",3483,1109,3075.981,471,164.018,140,477,270,161,9464.999
"01221","北海道",NA,"名寄市",6290,1252,3807.675,604,376.324,333,762,442,287,14364.999
"01222","北海道",NA,"三笠市",1226,840,1447.38,249,78.619,128,213,169,60,4485.999
"01223","北海道",NA,"根室市",4601,841,2071.49,925,196.509,132,883,431,119,10342.999
"01224","北海道",NA,"千歳市",19326,5311,8258.181,1754,1281.818,438,3242,1572,783,42781.999
"01225","北海道",NA,"滝川市",6706,2651,5435.733,1326,515.266,370,1269,778,367,19813.999
"01226","北海道",NA,"砂川市",2662,1526,3147.924,522,189.075,202,492,314,145,9355.999
"01227","北海道",NA,"歌志内市",517,411,532.597,163,34.402,60,78,58,15,1887.999
"01228","北海道",NA,"深川市",3554,1124,3574.012,933,201.987,171,595,370,190,10879.999
"01229","北海道",NA,"富良野市",3778,1342,2952.455,553,254.544,166,691,414,159,10510.999
"01230","北海道",NA,"登別市",6850,3100,7073.361,1717,632.638,426,1489,775,307,22788.999
"01231","北海道",NA,"恵庭市",15348,4062,8158.738,1846,943.261,426,2474,1248,568,35769.999
"01233","北海道",NA,"伊達市",4809,2103,5054.243,1371,520.756,310,1083,618,226,16382.999
"01234","北海道",NA,"北広島市",8845,3176,8947.992,2557,817.007,545,2429,1202,515,29598.999
"01235","北海道",NA,"石狩市",7978,3937,7534.8,2327,760.199,453,2168,1104,454,27181.999
"01236","北海道",NA,"北斗市",8220,2233,6099.888,1443,492.111,384,1202,886,333,21646.999
"01303","北海道",NA,"当別町",3037,1022,2012.224,866,168.775,122,608,361,158,8515.999
"01304","北海道",NA,"新篠津村",877,202,335.408,109,42.591,32,90,75,18,1807.999
"01331","北海道",NA,"松前町",1836,599,954.356,90,65.643,38,132,91,27,3875.999
"01332","北海道",NA,"福島町",1069,259,556.794,107,37.205,28,79,45,22,2226.999
"01333","北海道",NA,"知内町",1111,350,606.357,84,46.642,10,82,52,29,2383.999
"01334","北海道",NA,"木古内町",1061,219,725.815,85,42.184,37,87,65,25,2364.999
"01337","北海道",NA,"七飯町",4867,1519,4524.865,1087,319.134,236,761,582,200,14270.999
"01343","北海道",NA,"鹿部町",913,183,511.737,96,33.262,32,78,46,22,1942.999
"01345","北海道",NA,"森町",3238,814,1932.705,551,139.294,79,327,239,93,7495.999
"01346","北海道",NA,"八雲町",2896,927,2555.241,440,152.758,94,347,247,87,7835.999
"01347","北海道",NA,"長万部町",1079,394,930.361,161,48.638,39,137,82,32,2937.999
"01361","北海道",NA,"江差町",1594,409,1194.899,370,66.1,55,152,106,39,4049.999
"01362","北海道",NA,"上ノ国町",1128,220,582.735,244,42.264,27,90,65,20,2444.999
"01363","北海道",NA,"厚沢部町",946,279,552.432,152,31.567,26,79,67,25,2179.999
"01364","北海道",NA,"乙部町",986,240,426.121,341,18.878,17,60,45,13,2167.999
"01367","北海道",NA,"奥尻町",778,272,317.049,77,34.95,17,48,38,20,1624.999
"01370","北海道",NA,"今金町",1292,272,959.506,139,57.493,50,113,75,26,3017.999
"01371","北海道",NA,"せたな町",2105,583,1263.604,273,79.395,63,177,118,41,4750.999
"01391","北海道",NA,"島牧村",296,144,209.92,30,14.08,14,34,29,8,792
"01392","北海道",NA,"寿都町",851,190,404.629,158,32.37,15,70,47,21,1821.999
"01393","北海道",NA,"黒松内町",612,151,447.921,230,21.078,18,82,46,13,1644.999
"01394","北海道",NA,"蘭越町",1049,295,796.029,199,51.97,35,133,107,42,2749.999
"01395","北海道",NA,"ニセコ町",953,193,744.225,239,77.774,39,192,196,47,2739.999
"01396","北海道",NA,"真狩村",547,148,331.9,38,16.099,19,60,63,14,1258.999
"01397","北海道",NA,"留寿都村",451,88,226.68,51,19.319,14,59,37,19,988.999
"01398","北海道",NA,"喜茂別町",399,178,378.947,39,21.052,19,48,60,17,1172.999
"01399","北海道",NA,"京極町",766,308,377.854,41,37.145,20,81,81,20,1757.999
"01400","北海道",NA,"倶知安町",3186,886,1790.661,470,175.338,100,518,357,127,7780.999
"01401","北海道",NA,"共和町",1516,441,845.127,105,87.872,28,175,95,41,3385.999
"01402","北海道",NA,"岩内町",2513,1147,1458.379,417,117.62,69,315,198,74,6391.999
"01403","北海道",NA,"泊村",431,208,168,39,21,13,39,38,4,965
"01404","北海道",NA,"神恵内村",271,78,132.631,15,11.368,10,11,10,3,546.999
"01405","北海道",NA,"積丹町",510,106,283.406,57,11.593,10,47,37,8,1084.999
"01406","北海道",NA,"古平町",708,185,291.316,120,16.683,34,76,70,12,1537.999
"01407","北海道",NA,"仁木町",690,238,422.879,202,29.12,40,109,79,21,1859.999
"01408","北海道",NA,"余市町",3693,1217,2547.896,876,144.103,136,482,299,97,9646.999
"01409","北海道",NA,"赤井川村",228,100,165.464,62,12.535,5,45,30,3,659.999
"01423","北海道",NA,"南幌町",1412,656,1013.65,284,96.349,74,284,173,58,4104.999
"01424","北海道",NA,"奈井江町",901,406,968.261,279,56.738,35,149,135,36,2995.999
"01425","北海道",NA,"上砂川町",362,301,491.044,205,27.955,23,69,54,18,1575.999
"01427","北海道",NA,"由仁町",1036,455,923.282,180,63.717,56,196,121,46,3132.999
"01428","北海道",NA,"長沼町",2176,703,1249.032,447,148.967,77,351,249,93,5586.999
"01429","北海道",NA,"栗山町",2199,977,1793.347,462,142.652,103,445,237,106,6570.999
"01430","北海道",NA,"月形町",671,217,523.09,79,45.909,42,119,74,20,1831.999
"01431","北海道",NA,"浦臼町",362,106,330.85,53,24.149,18,41,27,6,984.999
"01432","北海道",NA,"新十津川町",1450,498,1084.086,208,98.913,55,189,128,54,3826.999
"01433","北海道",NA,"妹背牛町",771,195,499.81,67,25.189,21,67,49,15,1728.999
"01434","北海道",NA,"秩父別町",637,166,392.676,65,29.323,15,62,42,28,1452.999
"01436","北海道",NA,"雨竜町",560,157,447.403,59,31.596,24,77,64,19,1467.999
"01437","北海道",NA,"北竜町",419,108,449.772,47,22.227,16,50,33,9,1159.999
"01438","北海道",NA,"沼田町",762,193,582.059,136,53.94,25,107,57,19,1952.999
"01452","北海道",NA,"鷹栖町",1178,360,1058.545,192,79.454,64,229,138,86,3437.999
"01453","北海道",NA,"東神楽町",1637,502,1587.227,313,161.772,100,374,262,127,5140.999
"01454","北海道",NA,"当麻町",1131,445,918.461,291,76.538,55,213,131,55,3350.999
"01455","北海道",NA,"比布町",787,190,664.706,193,45.293,38,117,66,36,2163.999
"01456","北海道",NA,"愛別町",649,184,425.585,55,27.414,35,76,63,26,1560.999
"01457","北海道",NA,"上川町",689,150,775.754,145,39.245,64,104,61,24,2079.999
"01458","北海道",NA,"東川町",1369,400,1088.684,477,103.315,93,295,239,94,4225.999
"01459","北海道",NA,"美瑛町",1967,454,1519.754,428,133.245,88,373,220,95,5368.999
"01460","北海道",NA,"上富良野町",2919,457,1154.092,198,91.907,62,305,199,105,5577.999
"01461","北海道",NA,"中富良野町",1190,266,661.978,174,58.021,43,162,129,38,2760.999
"01462","北海道",NA,"南富良野町",449,202,435.255,46,47.744,48,80,79,35,1447.999
"01463","北海道",NA,"占冠村",185,73,145.8,26,16.2,145,32,24,5,657
"01464","北海道",NA,"和寒町",697,374,589.048,120,35.951,30,81,72,30,2056.999
"01465","北海道",NA,"剣淵町",655,126,646.704,80,33.295,45,101,52,24,1787.999
"01468","北海道",NA,"下川町",732,259,582.684,56,41.315,43,95,83,25,1932.999
"01469","北海道",NA,"美深町",1010,189,753.89,88,49.109,48,116,91,42,2423.999
"01470","北海道",NA,"音威子府村",132,35,191.976,20,7.023,23,18,11,5,445.999
"01471","北海道",NA,"中川町",293,226,279.786,21,23.213,12,26,19,13,919.999
"01472","北海道",NA,"幌加内町",412,121,197.844,39,27.155,10,36,22,11,880.999
"01481","北海道",NA,"増毛町",867,376,633.373,122,37.626,34,143,112,26,2397.999
"01482","北海道",NA,"小平町",805,235,482.661,57,42.338,35,124,70,17,1889.999
"01483","北海道",NA,"苫前町",701,271,503.002,73,31.997,19,86,72,14,1797.999
"01484","北海道",NA,"羽幌町",1446,562,1164.304,125,79.695,80,235,127,43,3926.999
"01485","北海道",NA,"初山別村",349,90,205.474,27,9.525,11,41,26,8,782.999
"01486","北海道",NA,"遠別町",639,249,368.19,48,21.809,25,67,68,18,1516.999
"01487","北海道",NA,"天塩町",778,231,389.764,49,31.235,29,143,67,17,1766.999
"01511","北海道",NA,"猿払村",668,157,333.326,71,28.673,17,78,49,13,1435.999
"01512","北海道",NA,"浜頓別町",802,262,550.894,155,54.105,34,88,80,25,2070.999
"01513","北海道",NA,"中頓別町",409,105,255.528,84,17.472,26,34,36,10,986
"01514","北海道",NA,"枝幸町",1703,722,871.943,231,55.056,66,216,164,44,4139.999
"01516","北海道",NA,"豊富町",882,171,486.267,179,46.732,31,127,93,28,2070.999
"01517","北海道",NA,"礼文町",760,167,239.25,72,24.75,14,81,75,18,1476
"01518","北海道",NA,"利尻町",600,349,226.285,55,13.714,12,44,55,13,1388.999
"01519","北海道",NA,"利尻富士町",993,188,239.516,59,28.483,18,78,80,24,1730.999
"01520","北海道",NA,"幌延町",648,149,212.696,65,43.303,13,77,50,16,1291.999
"01543","北海道",NA,"美幌町",4050,814,1939.773,578,180.226,141,736,353,183,9149.999
"01544","北海道",NA,"津別町",857,190,763.752,249,38.247,33,153,73,33,2404.999
"01545","北海道",NA,"斜里町",2083,658,1467.369,290,105.63,132,373,282,82,5567.999
"01546","北海道",NA,"清里町",960,182,716.203,81,43.796,41,168,72,29,2322.999
"01547","北海道",NA,"小清水町",892,263,616.325,243,54.674,62,148,95,34,2444.999
"01549","北海道",NA,"訓子府町",1038,212,673.502,225,52.497,38,186,103,42,2615.999
"01550","北海道",NA,"置戸町",689,153,546.362,82,30.637,30,106,56,20,1737.999
"01552","北海道",NA,"佐呂間町",1225,210,628.973,142,60.026,52,199,96,30,2683.999
"01555","北海道",NA,"遠軽町",4206,851,2779.321,604,190.678,238,806,352,135,10291.999
"01559","北海道",NA,"湧別町",2360,494,1080.832,158,73.167,91,336,178,58,4899.999
"01560","北海道",NA,"滝上町",585,163,364.426,55,36.573,25,251,52,21,1564.999
"01561","北海道",NA,"興部町",830,164,487.899,86,34.1,25,142,80,29,1917.999
"01562","北海道",NA,"西興部村",268,118,113.112,37,19.887,21,38,42,21,689.999
"01563","北海道",NA,"雄武町",1022,242,445.011,132,46.988,20,225,72,32,2277.999
"01564","北海道",NA,"大空町",1577,436,870.52,203,71.479,50,278,124,50,3707.999
"01571","北海道",NA,"豊浦町",713,184,473.619,187,48.38,40,124,95,39,1938.999
"01575","北海道",NA,"壮瞥町",478,223,366.838,62,38.161,31,75,63,8,1361.999
"01578","北海道",NA,"白老町",2753,1323,2278.837,763,189.162,144,518,254,123,8452.999
"01581","北海道",NA,"厚真町",923,300,599.959,231,81.04,31,159,93,33,2498.999
"01584","北海道",NA,"洞爺湖町",1438,787,1153.006,446,90.993,88,291,186,55,4580.999
"01585","北海道",NA,"安平町",1422,463,1161.147,340,104.852,80,288,144,43,4108.999
"01586","北海道",NA,"むかわ町",1542,632,1118.828,462,84.171,62,221,150,46,4372.999
"01601","北海道",NA,"日高町",2167,816,1558.113,479,164.886,106,414,215,80,6086.999
"01602","北海道",NA,"平取町",1034,357,718.529,221,71.47,49,165,131,40,2826.999
"01604","北海道",NA,"新冠町",1044,399,692.857,208,83.142,41,227,123,29,2887.999
"01607","北海道",NA,"浦河町",2334,803,1852.405,434,193.594,120,425,240,92,6600.999
"01608","北海道",NA,"様似町",894,357,649.846,123,43.153,25,126,67,35,2352.999
"01609","北海道",NA,"えりも町",987,471,598.257,130,54.742,23,142,122,35,2601.999
"01610","北海道",NA,"新ひだか町",4212,1360,2750.249,963,360.75,180,769,402,169,11356.999
"01631","北海道",NA,"音更町",7928,1827,6060.507,1774,500.492,375,1593,773,406,21646.999
"01632","北海道",NA,"士幌町",1393,401,883.442,303,67.557,39,194,89,42,3469.999
"01633","北海道",NA,"上士幌町",1121,180,862.401,214,63.598,46,164,106,30,2827.999
"01634","北海道",NA,"鹿追町",1433,208,833.03,150,55.969,63,153,131,46,3131.999
"01635","北海道",NA,"新得町",1272,284,1098.291,233,98.708,102,238,172,34,3602.999
"01636","北海道",NA,"清水町",1972,512,1285.789,369,108.21,102,326,215,74,5056.999
"01637","北海道",NA,"芽室町",3879,729,2516.398,920,216.601,147,651,343,128,9687.999
"01638","北海道",NA,"中札内村",884,232,681.04,111,42.959,50,185,113,36,2376.999
"01639","北海道",NA,"更別村",816,134,527.248,104,46.751,45,185,54,23,1965.999
"01641","北海道",NA,"大樹町",1401,280,754.778,141,69.221,47,204,97,32,3067.999
"01642","北海道",NA,"広尾町",1687,364,726.349,421,47.65,43,176,106,39,3654.999
"01643","北海道",NA,"幕別町",5176,1139,4187.2,1586,332.799,229,903,505,214,14506.999
"01644","北海道",NA,"池田町",1344,310,1284.281,218,72.718,80,264,158,48,3811.999
"01645","北海道",NA,"豊頃町",851,163,530.239,98,35.76,26,116,67,19,1932.999
"01646","北海道",NA,"本別町",1600,322,1290.179,184,64.82,89,312,148,31,4086.999
"01647","北海道",NA,"足寄町",1305,369,1490.954,168,74.045,51,396,109,46,4061.999
"01648","北海道",NA,"陸別町",496,78,451.485,83,28.514,29,222,45,18,1465.999
"01649","北海道",NA,"浦幌町",1091,306,787.094,148,44.905,46,164,80,25,2718.999
"01661","北海道",NA,"釧路町",3218,1195,2037.9,725,155.099,117,698,318,149,8736.999
"01662","北海道",NA,"厚岸町",2053,587,827.095,377,75.904,55,432,167,44,4673.999
"01663","北海道",NA,"浜中町",1442,423,506.204,190,54.795,47,294,104,27,3131.999
"01664","北海道",NA,"標茶町",1572,428,1060.584,410,73.415,78,278,152,53,4156.999
"01665","北海道",NA,"弟子屈町",1594,388,885,284,70,69,399,180,39,3965
"01667","北海道",NA,"鶴居村",606,186,296.48,110,29.519,22,116,64,19,1473.999
"01668","北海道",NA,"白糠町",1549,640,931.911,259,71.088,54,253,153,28,3986.999
"01691","北海道",NA,"別海町",3506,760,1441.719,546,146.28,74,635,326,96,7623.999
"01692","北海道",NA,"中標津町",4117,1239,2552.588,484,252.411,134,935,508,188,10594.999
"01693","北海道",NA,"標津町",1175,360,609.948,111,62.051,29,197,118,41,2741.999
"01694","北海道",NA,"羅臼町",933,501,420.419,98,43.58,28,198,94,22,2361.999
"02201","青森県",NA,"青森市",45296,11628,29585.964,12277,3031.035,3501,5659,3872,1517,116366.999
