"JCODE","pref","city","sikuchoson","幸福","維新","れいわ","公明","ごぼうの","立憲","国民","参政","第一","共産","くにもり","自民","社民","NHK","新風","Total"
"01101","北海道","札幌市","中央区",291,12018.1,5908.094,8436,455,22046.289,6328.66,4883.126,162,8852.257,577,37223.677,2366,3392.791,81,113020.994
"01102","北海道","札幌市","北区",260,11415.824,5569.136,13994.019,426,25001.093,6247.727,4205.956,195.791,11252.657,639,37577.628,2164.437,3519.719,96,122564.987
"01103","北海道","札幌市","東区",247,9864.842,5064.351,12788.008,461,20423.18,5526.704,3772.38,193.812,11589.455,425,33588.888,1670.368,3140,102,108856.988
"01104","北海道","札幌市","白石区",184,8090.382,4505.392,11729.386,391,17000.194,4520.716,3113.711,171.5,8200.835,385,27229.29,1356.636,2700.946,68,89646.988
"01105","北海道","札幌市","豊平区",233,9624.105,5066.068,10706.246,426.004,20025.684,5648.199,3677,162,7849.178,475,33943.754,1729,2768.753,88,102421.991
"01106","北海道","札幌市","南区",157,5717.192,2919.259,6878,198,13897.415,2435.473,2284.932,126.928,5525.586,300,23473.607,1121,1645.6,66,66745.992
"01107","北海道","札幌市","西区",265,9517.911,4792.959,9847.34,405,22105.266,5300.667,3534.852,160.772,8516.261,448,33573.849,1760.454,2755.659,103,103086.99
"01108","北海道","札幌市","厚別区",113,5690.914,2642.418,6952.398,202.038,14778.506,2967.343,1815.552,85.714,5858.233,290,19525.168,1085.166,1585.536,37,63628.986
"01109","北海道","札幌市","手稲区",129,5896.078,2884.663,8318.963,227,15755.312,2703.72,2012.497,112,5442.356,240,20177.62,1145,1638.78,44,66726.989
"01110","北海道","札幌市","清田区",109,4862.452,2065.385,6731.01,180,11300.955,2389.933,1731.93,94.555,4066.19,285,16719.581,786,1339,40,52700.991
"01202","北海道","NA","函館市",211,6128.334,4336.879,13518.428,319.222,26458.039,3278.551,2598.805,162.727,8860.403,244,35050.834,1539.076,2700.687,85,105491.985
"01203","北海道","NA","小樽市",84,4754.758,1860.546,7434,110,10797.774,1380.046,1294.933,84.761,6483.42,137,14170.684,688.5,1000.566,29,50309.988
"01204","北海道","NA","旭川市",392,8870.005,5539.395,15717.252,412.114,28465.731,4627.099,3699.168,250.503,11086.389,358,46735.632,2260.681,3799.009,98,132310.978
"01205","北海道","NA","室蘭市",73,2263.533,1402.58,4303.243,112,10136.198,1331.894,830.941,61.8,2978.783,78,10436.365,739.668,834.985,25,35607.99
"01206","北海道","NA","釧路市",159,4178.304,2772.911,10016.28,199,12812.187,2113.769,1670.552,114,5905.434,174,22014.728,1207,1530.82,41,64908.985
"01207","北海道","NA","帯広市",154,4650.671,3108.368,7083.778,235.05,14943.497,2411.823,2157.742,140.28,5392.294,156,24761.91,1058.12,1855.455,56,68164.988
"01208","北海道","NA","北見市",82,3170.082,1844.15,4922.013,157,9482.911,1665.09,1357.248,103.625,3681.845,101,18481.155,779.9,1430.97,42,47300.989
"01209","北海道","NA","夕張市",7,179,104,857,2,852.829,80.17,61.8,7,342.2,7,1108,51,63,1,3722.999
"01210","北海道","NA","岩見沢市",96,2276.149,1317.238,4820,100,8541.772,1194.227,799.325,81,2818.153,92,11336.128,543,768,23,34805.992
"01211","北海道","NA","網走市",23,929.046,595.311,1923.142,46,3059.265,496.734,351.71,29,1330.185,22,5856.709,196,392.89,9,15259.992
"01212","北海道","NA","留萌市",29,439,316.076,1460,29,1916.297,221.702,193.916,11,434.166,15,3643.922,125,196.916,6,9036.995
"01213","北海道","NA","苫小牧市",163,4715.95,2710.882,9569.966,222,12918.738,3861.896,1834,150.7,6504.628,193,18956.042,873.384,1846.805,53,64573.991
"01214","北海道","NA","稚内市",32,797.266,491.137,2076.066,50,2368.666,339.164,411,31,1018.271,36,5482.673,168.75,344,14,13659.993
"01215","北海道","NA","美唄市",18,548.444,344.164,1392,18,2095.45,182.549,219.684,19,767.769,29,3546.722,145.666,186.545,10,9522.993
"01216","北海道","NA","芦別市",15,293,183.05,1283,14,1428.635,135.364,174,14,539,14,1969.949,65,131,4,6262.998
"01217","北海道","NA","江別市",145,4100.106,2539.481,6504,215.05,13450.004,2360.995,1684.824,100,4810.282,209,17664.311,969,1399.937,41,56192.99
"01218","北海道","NA","赤平市",4,197,116,921,12,1194.153,92.846,77.6,14,409.333,12,1398.399,58,108.666,2,4616.997
"01219","北海道","NA","紋別市",20,533,366,885,29,1833.104,242.632,195,23,540.546,20,3753.839,111,193.875,9,8754.996
"01220","北海道","NA","士別市",23,379.999,224.434,968,20,2449.374,320.847,175,21,492.045,11,3094.295,82,157,5,8422.994
"01221","北海道","NA","名寄市",53,632,418.099,1097,49.002,2778.472,389.527,278.857,32,621.808,29,5944.896,291,278.333,8,12900.994
"01222","北海道","NA","三笠市",9,178,134,779,13,1015.823,82.176,82.437,8,282.153,5,1193.407,64,77,2,3924.996
"01223","北海道","NA","根室市",44,665.999,399.125,868,25,1461.845,229.154,211,17,811,32,4202.873,111,195,10,9282.996
"01224","北海道","NA","千歳市",124,2811.777,1423.772,5099,147,5898.99,1611.009,1357,100,1749.037,152,18199.188,404.222,933,34,40043.995
"01225","北海道","NA","滝川市",38,1049.469,623.304,2417.666,51,3827.952,596.973,433.966,37.571,1191.119,42,6000.639,271,492.333,16,17088.992
"01226","北海道","NA","砂川市",22,437,245,1422,24,2478.805,213.188,146,23.005,511.285,15,2355.962,107,191.75,4,8195.995
"01227","北海道","NA","歌志内市",5,67,40,385,5,419.586,23.413,18,4,154,2,449,16,28,0,1615.999
"01228","北海道","NA","深川市",13,510.422,347.149,937,21,2594.369,218.63,237.644,17.75,794.135,26,3339.894,130,205,9,9400.993
"01229","北海道","NA","富良野市",10,409.051,364.181,934,22,2066.097,241.174,254,13,521,16,3504.473,136,201.018,8,8699.994
"01230","北海道","NA","登別市",55,1254.999,795,2736,49,5279.319,639.669,471,42,1577.086,50,6248.912,299.01,470,12,19978.995
"01231","北海道","NA","恵庭市",67,2254.514,1124.277,3694,103,5749.919,1261.057,965.618,58.625,1751.358,120,14075.89,411,724.735,23,32383.993
"01233","北海道","NA","伊達市",39,937.074,557.081,1928.469,40,3681.636,513.438,388.805,32,1298.264,50,4682.653,263,331.571,10,14752.991
"01234","北海道","NA","北広島市",77,2155.028,1094.428,3091,101,6563.857,1038.11,927.629,48,2484.212,116,8538.784,461.125,696.818,22,27414.991
"01235","北海道","NA","石狩市",52,1849.297,1045.357,3624,73,5410.863,889.978,739.874,33.8,2205.255,82,7679.319,379,670.25,20,24753.993
"01236","北海道","NA","北斗市",34,985.777,737.03,2010,58.111,4280.568,552.881,426.888,36.012,1328.09,35,6898.744,226,471.888,19,18099.989
"01303","北海道","NA","当別町",10,474,334.144,916,24,1455.656,236.343,261,22,811.09,37,2968.763,125,205,1,7880.996
"01304","北海道","NA","新篠津村",2,68,56.24,119,3,255.789,33.925,31,4,110.285,1,915.76,20,27,0,1646.999
"01331","北海道","NA","松前町",4,123,68.062,578,19.25,695.731,43.268,48,7,92.111,6,1569.824,12,50.75,0,3316.996
"01332","北海道","NA","福島町",3,51,30,248,1,465.214,21.785,27,5,83,3,915.999,22,37,2,1914.998
"01333","北海道","NA","知内町",3,26,37,298,1,416.816,109.183,33,2,71,3,915,9,39,1,1963.999
"01334","北海道","NA","木古内町",5,78,50,202,2,545.894,39.105,43,4,71,4,897,13,34,1,1988.999
"01337","北海道","NA","七飯町",23,613,464.551,1365.333,37,3325.2,332.799,357,16,982,18,4041.446,177,295.666,10,12057.995
"01343","北海道","NA","鹿部町",5,68,45,174,6,384.529,24.47,47,2,96,4,784,17,22,4,1682.999
"01345","北海道","NA","森町",15,238,213.185,693,30,1401.907,182.092,149,8,555,21,2632.813,62,113,38,6351.997
"01346","北海道","NA","八雲町",79,249.999,188.076,858,24,1909.199,155.8,138,16,391,23,2696.922,56,138,4,6926.996
"01347","北海道","NA","長万部町",11,90,68.057,402,6,719.137,39.862,60,5,135,1,934.942,33,36,2,2542.998
"01361","北海道","NA","江差町",5,128,95.069,386,6,865.706,71.293,65,12,353.1,3,1371.829,32,52,3,3448.997
"01362","北海道","NA","上ノ国町",3,61,43,222,2,388.777,25.222,30,5,207.333,3,1155.999,8,27.666,0,2181.997
"01363","北海道","NA","厚沢部町",0,51,43,231,6,360.455,36.686,26,5,150.333,2,1100.856,18,39.666,0,2069.996
"01364","北海道","NA","乙部町",2,46,37,239,0,301.333,35.666,18,1,290,3,945,11,37,4,1969.999
"01367","北海道","NA","奥尻町",3,49,40.03,222,2,219.33,31.669,24,3,46,5,770.969,13,26,2,1456.998
"01370","北海道","NA","今金町",7,106,74.027,249,7,719.655,50.344,41,3,127,3,1092.971,25,35,1,2540.997
"01371","北海道","NA","せたな町",10,133,110,554,10,973.372,76.627,60.625,9,251.666,6,1858.374,34,69.333,1,4156.997
"01391","北海道","NA","島牧村",2,20,22.065,124,1,168.302,19.697,12,0,21,2,333.933,7,7,2,741.997
"01392","北海道","NA","寿都町",1,55,33.078,159,5,282.607,33.392,27,2,139,8,677.921,15,27,0,1464.998
"01393","北海道","NA","黒松内町",1,49,52.068,126,1,338.989,17.01,30,5,203,6,610.931,13,26,1,1479.998
"01394","北海道","NA","蘭越町",0,168,107.116,253,9,599.196,46.803,77,9,193,8,1064.882,21,48,1,2604.997
"01395","北海道","NA","ニセコ町",1,149,143.419,177,11,546.86,89.139,114,9,213,7,813.579,37,64,4,2378.997
"01396","北海道","NA","真狩村",1,104,54.171,107,5,256,23,39,3,33,7,457.828,21,21,0,1131.999
"01397","北海道","NA","留寿都村",2,50,27,76,4,153.416,18.583,23,4,59,1,440,9,11,1,878.999
"01398","北海道","NA","喜茂別町",1,43,58,161,2,295.79,24.209,33,6,51,3,398,14,25,2,1116.999
"01399","北海道","NA","京極町",1,102,71,217,7,324.125,31.875,34,5,34,5,753.999,14,26,0,1625.999
"01400","北海道","NA","倶知安町",12,474,308.56,812,21,1348.967,227.032,263,13,449,15,2613.439,80,180,9,6825.998
"01401","北海道","NA","共和町",2,125,64,384,7,657.747,229.251,63,3,106,5,1275.999,12,45,3,2981.997
"01402","北海道","NA","岩内町",13,242,161.093,1063.777,15,996.961,204.038,114,12,406,12,2185.905,42,102.222,1,5570.996
"01403","北海道","NA","泊村",0,30,21,205,3,116.857,51.142,7,2,42.666,0,406,7,19.333,0,910.998
"01404","北海道","NA","神恵内村",2,9,7,64,1,93.152,13.847,10,0,12,2,286,5,8,0,512.999
"01405","北海道","NA","積丹町",9,36,34.224,115,0,206.971,14.028,12,1,39,1,445.775,7,13,0,933.998
"01406","北海道","NA","古平町",3,80,43.06,148,7,226.589,19.61,23,11,105.25,7,561.737,14,25.75,0,1274.996
"01407","北海道","NA","仁木町",1,95,63.045,183,2,317.241,38.758,47,2,155.5,4,606.954,21,38.5,0,1574.998
"01408","北海道","NA","余市町",12,409,246.567,1039.031,15,1836.697,204.27,191,10,705,16,2751.432,106,159,4,7704.997
"01409","北海道","NA","赤井川村",0,33,33,88,0,145,13,13,2,63,0,187,4,6,0,587
"01423","北海道","NA","南幌町",6,228,171,598,7,725.602,105.397,109,8,282.083,6,1419.915,44,93,3,3805.997
"01424","北海道","NA","奈井江町",8,121,95,378,6,736.908,79.091,35,9,215,7,847.999,22,46,2,2607.998
"01425","北海道","NA","上砂川町",1,55,47.192,252,2,343.475,29.525,26,6,148,7,388.807,7,27,1,1340.999
"01427","北海道","NA","由仁町",10,140,98,391,8,645.609,74.39,81,3,170,7,1056,30,70,1,2784.999
"01428","北海道","NA","長沼町",13,289.5,229.171,634,14,849.129,146.606,130.9,7,424.425,7,2011.763,49.5,117,5,4927.994
"01429","北海道","NA","栗山町",23,333,193.06,882,11,1250.645,160.354,132,13,423.285,10,2120.94,58,129.714,8,5747.998
"01430","北海道","NA","月形町",3,103,49,230,10,392.645,44.354,45,7,88,11,602,22,33,1,1640.999
"01431","北海道","NA","浦臼町",2,37,31,111,4,184.857,28.142,12,4,54,2,411,16,8,7,911.999
"01432","北海道","NA","新十津川町",8,165,106,476.968,9,747.582,85.448,93,8,199,12,1405.999,46,86,1,3448.997
"01433","北海道","NA","妹背牛町",2,56,35,186,4,374.707,23.292,35.6,3,71,1,746.4,8,29,0,1574.999
"01434","北海道","NA","秩父別町",3,57,48,153,5,252.256,22.743,35.8,1,69.4,1,643.2,9,27.6,1,1328.999
"01436","北海道","NA","雨竜町",2,48,41.063,127,3,329.38,18.62,23,1,58,3,602.936,14,23,1,1294.999
"01437","北海道","NA","北竜町",1,45,29,96,1,337.522,26.477,32,1,50,3,435.999,11,21,0,1089.998
"01438","北海道","NA","沼田町",0,59,57,152,2,415.666,36.333,22,2,144,5,792,7,43,0,1736.999
"01452","北海道","NA","鷹栖町",12,202,142.615,358,11,744.132,89.867,68,6,171,6,1193.384,57,91,5,3156.998
"01453","北海道","NA","東神楽町",6,379,223.15,402,18,1142.106,153.893,151,11,292,9,1529.849,98,131,4,4549.998
"01454","北海道","NA","当麻町",8,141,125.32,427,17,629.947,81.052,80,8,252,3,1085.679,42,58,24,2981.998
"01455","北海道","NA","比布町",6,105,67,163,4,475.485,40.291,48,4,179.722,2,735,24,25.5,1,1879.998
"01456","北海道","NA","愛別町",2,78,54.076,198,5,339.737,29.262,38,4,63,4,633.922,16,23,3,1490.997
"01457","北海道","NA","上川町",4,71.999,54.13,154,2,632.642,28.357,35,5,113.166,0,671.701,24,24,0,1819.995
"01458","北海道","NA","東川町",9,274,237.457,350,12,796.852,134.147,154,4,456,3,1273.541,77,88,2,3870.997
"01459","北海道","NA","美瑛町",15,312,242.081,431,10,1046.732,144.267,131,6,372.375,11,1863.917,78,121.625,3,4787.997
"01460","北海道","NA","上富良野町",8,246,167.232,356,7,724.752,134.247,112,10,189,7,2650.766,26,139,1,4777.997
"01461","北海道","NA","中富良野町",8,114,109.142,208,9,419.959,52.04,52,2,169,5,1142.857,23,51,9,2373.998
"01462","北海道","NA","南富良野町",3,10,67.047,174,7,320.214,25.785,28,3,52,7,446.952,33,31,40,1247.998
"01463","北海道","NA","占冠村",2,24,22,54,1,101.412,17.587,22,0,34,0,187,161,11,0,636.999
"01464","北海道","NA","和寒町",7,65,53.119,321,2,479.64,41.36,28,4,121,2,702.88,26,29,0,1881.999
"01465","北海道","NA","剣淵町",5,67,56.101,123,5,460.65,39.182,44,6,85.666,5,609.898,24,29.5,2,1561.997
"01468","北海道","NA","下川町",8,78,76,187,2,418.835,42.164,43,3,55,9,713.999,31,38,2,1706.998
"01469","北海道","NA","美深町",8,91,69,176,10,524.682,52.163,42,7,108.375,11,951.776,39,59,2,2150.996
"01470","北海道","NA","音威子府村",0,11,9,36,1,154,13,1,1,15,0,121,28,2,0,392
"01471","北海道","NA","中川町",1,25,21,175,1,209.592,23.407,13,1,18,0,324,16,13,0,840.999
"01472","北海道","NA","幌加内町",3,33,25,73,2,129,24,17,0,60,3,417,14,16,0,816
"01481","北海道","NA","増毛町",0,92,86,387,11,448.649,31.35,37,1,122,5,857,12,37,0,2126.999
"01482","北海道","NA","小平町",2,72,55,231,10,386.806,25.193,36.714,4,48,8,835.285,26,28,2,1769.998
"01483","北海道","NA","苫前町",2,69,63,182,2,336.851,28.148,25,3,75,5,707.999,16,19,1,1534.998
"01484","北海道","NA","羽幌町",14,155,129.184,469,17,851.5,74.665,78.687,10,131,9,1351.959,70,58,2,3420.995
"01485","北海道","NA","初山別村",1,18,23.108,73,3,148.18,13.819,15,2,26,1,385.891,10,7,1,727.998
"01486","北海道","NA","遠別町",2,38,34,243,4,291.558,25.441,29,4,59,5,567.999,12,25,1,1340.998
"01487","北海道","NA","天塩町",3,113,49,226,6,304.5,27.5,27,8,41,3,726.999,16,19,1,1570.999
"01511","北海道","NA","猿払村",3,51,54,111,7,273.763,21.236,19,6,66,6,663,13,21,1,1315.999
"01512","北海道","NA","浜頓別町",3,58,56.037,237,5,401.696,60.303,32,4,116,2,811.961,38,40,2,1866.997
"01513","北海道","NA","中頓別町",2,42,32,97,3,198.635,12.364,16,1,62,4,441,10,8,0,928.999
