"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2023年06月20日"

"","","","","/項目 コード","A1102","","A1407",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1102_日本人人口【人】","注釈","A1407_0～17歳人口【人】","注釈"
"2020100000","2020年度","01100","北海道 札幌市","","1,933,094","","262,403",""
"2020100000","2020年度","01101","北海道 札幌市 中央区","","238,156","","28,860",""
"2020100000","2020年度","01102","北海道 札幌市 北区","","282,182","","40,864",""
"2020100000","2020年度","01103","北海道 札幌市 東区","","257,346","","36,263",""
"2020100000","2020年度","01104","北海道 札幌市 白石区","","210,298","","27,122",""
"2020100000","2020年度","01105","北海道 札幌市 豊平区","","222,023","","28,220",""
"2020100000","2020年度","01106","北海道 札幌市 南区","","133,106","","16,505",""
"2020100000","2020年度","01107","北海道 札幌市 西区","","213,606","","29,794",""
"2020100000","2020年度","01108","北海道 札幌市 厚別区","","124,408","","15,931",""
"2020100000","2020年度","01109","北海道 札幌市 手稲区","","140,885","","21,032",""
"2020100000","2020年度","01110","北海道 札幌市 清田区","","111,084","","17,812",""
"2020100000","2020年度","01202","北海道 函館市","","248,208","","29,651",""
"2020100000","2020年度","01203","北海道 小樽市","","109,971","","11,768",""
"2020100000","2020年度","01204","北海道 旭川市","","325,287","","43,350",""
"2020100000","2020年度","01205","北海道 室蘭市","","81,658","","9,739",""
"2020100000","2020年度","01206","北海道 釧路市","","163,026","","21,000",""
"2020100000","2020年度","01207","北海道 帯広市","","165,759","","23,503",""
"2020100000","2020年度","01208","北海道 北見市","","114,601","","14,871",""
"2020100000","2020年度","01209","北海道 夕張市","","7,247","","515",""
"2020100000","2020年度","01210","北海道 岩見沢市","","79,031","","9,930",""
"2020100000","2020年度","01211","北海道 網走市","","35,429","","4,606",""
"2020100000","2020年度","01212","北海道 留萌市","","19,940","","2,100",""
"2020100000","2020年度","01213","北海道 苫小牧市","","168,873","","25,285",""
"2020100000","2020年度","01214","北海道 稚内市","","33,083","","4,304",""
"2020100000","2020年度","01215","北海道 美唄市","","20,343","","2,068",""
"2020100000","2020年度","01216","北海道 芦別市","","12,536","","1,053",""
"2020100000","2020年度","01217","北海道 江別市","","119,589","","16,715",""
"2020100000","2020年度","01218","北海道 赤平市","","9,631","","773",""
"2020100000","2020年度","01219","北海道 紋別市","","20,674","","2,447",""
"2020100000","2020年度","01220","北海道 士別市","","17,756","","2,060",""
"2020100000","2020年度","01221","北海道 名寄市","","27,014","","3,632",""
"2020100000","2020年度","01222","北海道 三笠市","","8,025","","882",""
"2020100000","2020年度","01223","北海道 根室市","","24,249","","2,965",""
"2020100000","2020年度","01224","北海道 千歳市","","97,223","","15,648",""
"2020100000","2020年度","01225","北海道 滝川市","","39,013","","4,917",""
"2020100000","2020年度","01226","北海道 砂川市","","16,450","","1,783",""
"2020100000","2020年度","01227","北海道 歌志内市","","2,979","","188",""
"2020100000","2020年度","01228","北海道 深川市","","19,927","","2,099",""
"2020100000","2020年度","01229","北海道 富良野市","","20,825","","2,717",""
"2020100000","2020年度","01230","北海道 登別市","","46,118","","5,950",""
"2020100000","2020年度","01231","北海道 恵庭市","","69,840","","10,720",""
"2020100000","2020年度","01233","北海道 伊達市","","32,644","","4,270",""
"2020100000","2020年度","01234","北海道 北広島市","","57,695","","8,324",""
"2020100000","2020年度","01235","北海道 石狩市","","56,418","","8,542",""
"2020100000","2020年度","01236","北海道 北斗市","","44,002","","6,842",""
"2020100000","2020年度","01303","北海道 当別町","","15,739","","1,549",""
"2020100000","2020年度","01304","北海道 新篠津村","","3,035","","461",""
"2020100000","2020年度","01331","北海道 松前町","","6,218","","464",""
"2020100000","2020年度","01332","北海道 福島町","","3,758","","294",""
"2020100000","2020年度","01333","北海道 知内町","","4,104","","493",""
"2020100000","2020年度","01334","北海道 木古内町","","3,807","","293",""
"2020100000","2020年度","01337","北海道 七飯町","","27,574","","3,959",""
"2020100000","2020年度","01343","北海道 鹿部町","","3,646","","425",""
"2020100000","2020年度","01345","北海道 森町","","14,000","","1,735",""
"2020100000","2020年度","01346","北海道 八雲町","","15,526","","1,890",""
"2020100000","2020年度","01347","北海道 長万部町","","4,932","","496",""
"2020100000","2020年度","01361","北海道 江差町","","7,406","","743",""
"2020100000","2020年度","01362","北海道 上ノ国町","","4,255","","483",""
"2020100000","2020年度","01363","北海道 厚沢部町","","3,562","","402",""
"2020100000","2020年度","01364","北海道 乙部町","","3,386","","369",""
"2020100000","2020年度","01367","北海道 奥尻町","","2,402","","238",""
"2020100000","2020年度","01370","北海道 今金町","","5,068","","627",""
"2020100000","2020年度","01371","北海道 せたな町","","7,368","","719",""
"2020100000","2020年度","01391","北海道 島牧村","","1,354","","130",""
"2020100000","2020年度","01392","北海道 寿都町","","2,784","","327",""
"2020100000","2020年度","01393","北海道 黒松内町","","2,775","","363",""
"2020100000","2020年度","01394","北海道 蘭越町","","4,530","","548",""
"2020100000","2020年度","01395","北海道 ニセコ町","","4,799","","702",""
"2020100000","2020年度","01396","北海道 真狩村","","2,008","","323",""
"2020100000","2020年度","01397","北海道 留寿都村","","1,798","","292",""
"2020100000","2020年度","01398","北海道 喜茂別町","","2,093","","209",""
"2020100000","2020年度","01399","北海道 京極町","","2,887","","354",""
"2020100000","2020年度","01400","北海道 倶知安町","","14,257","","2,261",""
"2020100000","2020年度","01401","北海道 共和町","","5,763","","776",""
"2020100000","2020年度","01402","北海道 岩内町","","11,599","","1,355",""
"2020100000","2020年度","01403","北海道 泊村","","1,566","","177",""
"2020100000","2020年度","01404","北海道 神恵内村","","869","","77",""
"2020100000","2020年度","01405","北海道 積丹町","","1,827","","175",""
"2020100000","2020年度","01406","北海道 古平町","","2,692","","252",""
"2020100000","2020年度","01407","北海道 仁木町","","3,113","","437",""
"2020100000","2020年度","01408","北海道 余市町","","17,863","","2,228",""
"2020100000","2020年度","01409","北海道 赤井川村","","1,105","","154",""
"2020100000","2020年度","01423","北海道 南幌町","","7,273","","866",""
"2020100000","2020年度","01424","北海道 奈井江町","","5,091","","544",""
"2020100000","2020年度","01425","北海道 上砂川町","","2,824","","234",""
"2020100000","2020年度","01427","北海道 由仁町","","4,798","","509",""
"2020100000","2020年度","01428","北海道 長沼町","","10,239","","1,214",""
"2020100000","2020年度","01429","北海道 栗山町","","11,233","","1,347",""
"2020100000","2020年度","01430","北海道 月形町","","3,678","","254",""
"2020100000","2020年度","01431","北海道 浦臼町","","1,724","","211",""
"2020100000","2020年度","01432","北海道 新十津川町","","6,465","","876",""
"2020100000","2020年度","01433","北海道 妹背牛町","","2,650","","271",""
"2020100000","2020年度","01434","北海道 秩父別町","","2,326","","259",""
"2020100000","2020年度","01436","北海道 雨竜町","","2,380","","328",""
"2020100000","2020年度","01437","北海道 北竜町","","1,718","","190",""
"2020100000","2020年度","01438","北海道 沼田町","","2,903","","314",""
"2020100000","2020年度","01452","北海道 鷹栖町","","6,564","","1,067",""
"2020100000","2020年度","01453","北海道 東神楽町","","10,084","","1,864",""
"2020100000","2020年度","01454","北海道 当麻町","","6,309","","812",""
"2020100000","2020年度","01455","北海道 比布町","","3,517","","434",""
"2020100000","2020年度","01456","北海道 愛別町","","2,565","","276",""
"2020100000","2020年度","01457","北海道 上川町","","3,452","","342",""
"2020100000","2020年度","01458","北海道 東川町","","8,048","","1,338",""
"2020100000","2020年度","01459","北海道 美瑛町","","9,582","","1,181",""
"2020100000","2020年度","01460","北海道 上富良野町","","10,266","","1,455",""
"2020100000","2020年度","01461","北海道 中富良野町","","4,699","","725",""
"2020100000","2020年度","01462","北海道 南富良野町","","2,358","","313",""
"2020100000","2020年度","01463","北海道 占冠村","","1,161","","113",""
"2020100000","2020年度","01464","北海道 和寒町","","3,170","","366",""
"2020100000","2020年度","01465","北海道 剣淵町","","2,925","","378",""
"2020100000","2020年度","01468","北海道 下川町","","3,100","","393",""
"2020100000","2020年度","01469","北海道 美深町","","4,110","","531",""
"2020100000","2020年度","01470","北海道 音威子府村","","705","","140",""
"2020100000","2020年度","01471","北海道 中川町","","1,495","","149",""
"2020100000","2020年度","01472","北海道 幌加内町","","1,368","","180",""
"2020100000","2020年度","01481","北海道 増毛町","","3,828","","412",""
"2020100000","2020年度","01482","北海道 小平町","","2,927","","354",""
"2020100000","2020年度","01483","北海道 苫前町","","2,910","","372",""
"2020100000","2020年度","01484","北海道 羽幌町","","6,526","","781",""
"2020100000","2020年度","01485","北海道 初山別村","","1,072","","109",""
"2020100000","2020年度","01486","北海道 遠別町","","2,460","","324",""
"2020100000","2020年度","01487","北海道 天塩町","","2,912","","368",""
"2020100000","2020年度","01511","北海道 猿払村","","2,450","","422",""
"2020100000","2020年度","01512","北海道 浜頓別町","","3,367","","376",""
"2020100000","2020年度","01513","北海道 中頓別町","","1,633","","189",""
"2020100000","2020年度","01514","北海道 枝幸町","","7,435","","968",""
"2020100000","2020年度","01516","北海道 豊富町","","3,932","","454",""
"2020100000","2020年度","01517","北海道 礼文町","","2,481","","312",""
"2020100000","2020年度","01518","北海道 利尻町","","2,003","","222",""
"2020100000","2020年度","01519","北海道 利尻富士町","","2,447","","311",""
"2020100000","2020年度","01520","北海道 幌延町","","2,343","","314",""
"2020100000","2020年度","01543","北海道 美幌町","","18,609","","2,402",""
"2020100000","2020年度","01544","北海道 津別町","","4,363","","437",""
"2020100000","2020年度","01545","北海道 斜里町","","11,231","","1,567",""
"2020100000","2020年度","01546","北海道 清里町","","3,879","","529",""
"2020100000","2020年度","01547","北海道 小清水町","","4,600","","624",""
"2020100000","2020年度","01549","北海道 訓子府町","","4,649","","647",""
"2020100000","2020年度","01550","北海道 置戸町","","2,770","","333",""
"2020100000","2020年度","01552","北海道 佐呂間町","","4,653","","570",""
"2020100000","2020年度","01555","北海道 遠軽町","","19,172","","2,455",""
"2020100000","2020年度","01559","北海道 湧別町","","8,125","","1,010",""
"2020100000","2020年度","01560","北海道 滝上町","","2,396","","234",""
"2020100000","2020年度","01561","北海道 興部町","","3,543","","523",""
"2020100000","2020年度","01562","北海道 西興部村","","1,025","","111",""
"2020100000","2020年度","01563","北海道 雄武町","","3,971","","527",""
"2020100000","2020年度","01564","北海道 大空町","","6,762","","997",""
"2020100000","2020年度","01571","北海道 豊浦町","","3,759","","464",""
"2020100000","2020年度","01575","北海道 壮瞥町","","2,717","","286",""
"2020100000","2020年度","01578","北海道 白老町","","16,014","","1,566",""
"2020100000","2020年度","01581","北海道 厚真町","","4,386","","655",""
"2020100000","2020年度","01584","北海道 洞爺湖町","","8,352","","877",""
"2020100000","2020年度","01585","北海道 安平町","","7,267","","914",""
"2020100000","2020年度","01586","北海道 むかわ町","","7,509","","897",""
"2020100000","2020年度","01601","北海道 日高町","","11,019","","1,459",""
"2020100000","2020年度","01602","北海道 平取町","","4,649","","675",""
"2020100000","2020年度","01604","北海道 新冠町","","5,163","","787",""
"2020100000","2020年度","01607","北海道 浦河町","","11,818","","1,532",""
"2020100000","2020年度","01608","北海道 様似町","","4,017","","448",""
"2020100000","2020年度","01609","北海道 えりも町","","4,335","","649",""
"2020100000","2020年度","01610","北海道 新ひだか町","","21,385","","2,953",""
"2020100000","2020年度","01631","北海道 音更町","","43,413","","7,113",""
"2020100000","2020年度","01632","北海道 士幌町","","5,758","","892",""
"2020100000","2020年度","01633","北海道 上士幌町","","4,642","","644",""
"2020100000","2020年度","01634","北海道 鹿追町","","5,191","","876",""
"2020100000","2020年度","01635","北海道 新得町","","5,784","","697",""
"2020100000","2020年度","01636","北海道 清水町","","8,955","","1,120",""
"2020100000","2020年度","01637","北海道 芽室町","","17,978","","3,073",""
"2020100000","2020年度","01638","北海道 中札内村","","3,808","","650",""
"2020100000","2020年度","01639","北海道 更別村","","3,072","","494",""
"2020100000","2020年度","01641","北海道 大樹町","","5,312","","697",""
"2020100000","2020年度","01642","北海道 広尾町","","6,336","","762",""
"2020100000","2020年度","01643","北海道 幕別町","","25,623","","3,895",""
"2020100000","2020年度","01644","北海道 池田町","","6,272","","674",""
"2020100000","2020年度","01645","北海道 豊頃町","","2,972","","350",""
"2020100000","2020年度","01646","北海道 本別町","","6,576","","702",""
"2020100000","2020年度","01647","北海道 足寄町","","6,536","","899",""
"2020100000","2020年度","01648","北海道 陸別町","","2,223","","243",""
"2020100000","2020年度","01649","北海道 浦幌町","","4,353","","493",""
"2020100000","2020年度","01661","北海道 釧路町","","18,911","","2,682",""
"2020100000","2020年度","01662","北海道 厚岸町","","8,736","","1,130",""
"2020100000","2020年度","01663","北海道 浜中町","","5,423","","759",""
"2020100000","2020年度","01664","北海道 標茶町","","7,135","","1,077",""
"2020100000","2020年度","01665","北海道 弟子屈町","","6,884","","744",""
"2020100000","2020年度","01667","北海道 鶴居村","","2,523","","369",""
"2020100000","2020年度","01668","北海道 白糠町","","7,199","","731",""
"2020100000","2020年度","01691","北海道 別海町","","13,972","","2,223",""
"2020100000","2020年度","01692","北海道 中標津町","","22,883","","3,785",""
"2020100000","2020年度","01693","北海道 標津町","","4,946","","776",""
"2020100000","2020年度","01694","北海道 羅臼町","","4,680","","629",""
"2020100000","2020年度","02201","青森県 青森市","","271,454","","35,289",""
"2020100000","2020年度","02202","青森県 弘前市","","166,298","","21,616",""
"2020100000","2020年度","02203","青森県 八戸市","","220,832","","32,139",""
"2020100000","2020年度","02204","青森県 黒石市","","31,778","","4,109",""
"2020100000","2020年度","02205","青森県 五所川原市","","51,001","","6,233",""
"2020100000","2020年度","02206","青森県 十和田市","","59,560","","8,117",""
"2020100000","2020年度","02207","青森県 三沢市","","38,211","","6,097",""
"2020100000","2020年度","02208","青森県 むつ市","","53,212","","7,124",""
"2020100000","2020年度","02209","青森県 つがる市","","30,849","","3,697",""
"2020100000","2020年度","02210","青森県 平川市","","30,515","","4,067",""
"2020100000","2020年度","02301","青森県 平内町","","10,079","","1,150",""
"2020100000","2020年度","02303","青森県 今別町","","2,331","","137",""
"2020100000","2020年度","02304","青森県 蓬田村","","2,538","","308",""
"2020100000","2020年度","02307","青森県 外ヶ浜町","","5,365","","377",""
"2020100000","2020年度","02321","青森県 鰺ヶ沢町","","9,022","","862",""
"2020100000","2020年度","02323","青森県 深浦町","","7,324","","634",""
"2020100000","2020年度","02343","青森県 西目屋村","","1,265","","176",""
"2020100000","2020年度","02361","青森県 藤崎町","","14,544","","2,072",""
"2020100000","2020年度","02362","青森県 大鰐町","","8,663","","807",""
"2020100000","2020年度","02367","青森県 田舎館村","","7,312","","1,016",""
"2020100000","2020年度","02381","青森県 板柳町","","12,681","","1,516",""
"2020100000","2020年度","02384","青森県 鶴田町","","12,059","","1,603",""
"2020100000","2020年度","02387","青森県 中泊町","","9,593","","943",""
"2020100000","2020年度","02401","青森県 野辺地町","","12,223","","1,455",""
"2020100000","2020年度","02402","青森県 七戸町","","14,502","","1,721",""
"2020100000","2020年度","02405","青森県 六戸町","","10,366","","1,668",""
"2020100000","2020年度","02406","青森県 横浜町","","4,153","","444",""
"2020100000","2020年度","02408","青森県 東北町","","16,325","","2,135",""
"2020100000","2020年度","02411","青森県 六ヶ所村","","10,066","","1,261",""
"2020100000","2020年度","02412","青森県 おいらせ町","","23,942","","4,009",""
"2020100000","2020年度","02423","青森県 大間町","","4,705","","611",""
"2020100000","2020年度","02424","青森県 東通村","","5,943","","749",""
"2020100000","2020年度","02425","青森県 風間浦村","","1,633","","154",""
"2020100000","2020年度","02426","青森県 佐井村","","1,787","","147",""
"2020100000","2020年度","02441","青森県 三戸町","","9,035","","1,049",""
"2020100000","2020年度","02442","青森県 五戸町","","15,970","","1,808",""
"2020100000","2020年度","02443","青森県 田子町","","4,955","","524",""
"2020100000","2020年度","02445","青森県 南部町","","16,776","","1,983",""
"2020100000","2020年度","02446","青森県 階上町","","13,278","","1,641",""
"2020100000","2020年度","02450","青森県 新郷村","","2,189","","208",""
"2020100000","2020年度","03201","岩手県 盛岡市","","282,387","","41,752",""
"2020100000","2020年度","03202","岩手県 宮古市","","50,044","","6,162",""
"2020100000","2020年度","03203","岩手県 大船渡市","","34,275","","4,200",""
"2020100000","2020年度","03205","岩手県 花巻市","","92,424","","12,837",""
"2020100000","2020年度","03206","岩手県 北上市","","91,883","","14,085",""
"2020100000","2020年度","03207","岩手県 久慈市","","32,588","","4,578",""
"2020100000","2020年度","03208","岩手県 遠野市","","25,201","","3,189",""
"2020100000","2020年度","03209","岩手県 一関市","","110,816","","14,851",""
"2020100000","2020年度","03210","岩手県 陸前高田市","","18,072","","2,104",""
"2020100000","2020年度","03211","岩手県 釜石市","","31,720","","3,664",""
"2020100000","2020年度","03213","岩手県 二戸市","","25,261","","3,149",""
"2020100000","2020年度","03214","岩手県 八幡平市","","23,916","","2,635",""
"2020100000","2020年度","03215","岩手県 奥州市","","111,896","","15,542",""
"2020100000","2020年度","03216","岩手県 滝沢市","","55,116","","9,435",""
"2020100000","2020年度","03301","岩手県 雫石町","","15,689","","1,959",""
"2020100000","2020年度","03302","岩手県 葛巻町","","5,611","","536",""
"2020100000","2020年度","03303","岩手県 岩手町","","12,120","","1,384",""
"2020100000","2020年度","03321","岩手県 紫波町","","32,039","","4,877",""
"2020100000","2020年度","03322","岩手県 矢巾町","","27,756","","4,280",""
"2020100000","2020年度","03366","岩手県 西和賀町","","5,110","","449",""
"2020100000","2020年度","03381","岩手県 金ケ崎町","","15,342","","2,287",""
"2020100000","2020年度","03402","岩手県 平泉町","","7,213","","998",""
"2020100000","2020年度","03441","岩手県 住田町","","4,939","","466",""
"2020100000","2020年度","03461","岩手県 大槌町","","10,928","","1,372",""
"2020100000","2020年度","03482","岩手県 山田町","","14,251","","1,700",""
"2020100000","2020年度","03483","岩手県 岩泉町","","8,665","","905",""
"2020100000","2020年度","03484","岩手県 田野畑村","","3,030","","375",""
"2020100000","2020年度","03485","岩手県 普代村","","2,466","","266",""
"2020100000","2020年度","03501","岩手県 軽米町","","8,332","","942",""
"2020100000","2020年度","03503","岩手県 野田村","","3,913","","514",""
"2020100000","2020年度","03506","岩手県 九戸村","","5,362","","651",""
"2020100000","2020年度","03507","岩手県 洋野町","","15,040","","1,741",""
"2020100000","2020年度","03524","岩手県 一戸町","","11,340","","1,244",""
"2020100000","2020年度","04100","宮城県 仙台市","","1,052,030","","156,125",""
"2020100000","2020年度","04101","宮城県 仙台市 青葉区","","294,513","","40,735",""
"2020100000","2020年度","04102","宮城県 仙台市 宮城野区","","189,302","","29,114",""
"2020100000","2020年度","04103","宮城県 仙台市 若林区","","136,184","","20,157",""
"2020100000","2020年度","04104","宮城県 仙台市 太白区","","228,970","","35,465",""
"2020100000","2020年度","04105","宮城県 仙台市 泉区","","203,061","","30,654",""
"2020100000","2020年度","04202","宮城県 石巻市","","137,686","","18,175",""
"2020100000","2020年度","04203","宮城県 塩竈市","","51,434","","6,707",""
"2020100000","2020年度","04205","宮城県 気仙沼市","","60,187","","7,045",""
"2020100000","2020年度","04206","宮城県 白石市","","32,380","","4,139",""
"2020100000","2020年度","04207","宮城県 名取市","","77,588","","14,391",""
"2020100000","2020年度","04208","宮城県 角田市","","27,717","","3,656",""
"2020100000","2020年度","04209","宮城県 多賀城市","","61,287","","10,009",""
"2020100000","2020年度","04211","宮城県 岩沼市","","43,553","","7,238",""
"2020100000","2020年度","04212","宮城県 登米市","","75,501","","10,364",""
"2020100000","2020年度","04213","宮城県 栗原市","","64,116","","7,855",""
"2020100000","2020年度","04214","宮城県 東松島市","","38,931","","6,000",""
"2020100000","2020年度","04215","宮城県 大崎市","","126,036","","18,663",""
"2020100000","2020年度","04216","宮城県 富谷市","","51,273","","10,571",""
"2020100000","2020年度","04301","宮城県 蔵王町","","11,342","","1,466",""
"2020100000","2020年度","04302","宮城県 七ヶ宿町","","1,235","","133",""
"2020100000","2020年度","04321","宮城県 大河原町","","23,293","","3,716",""
"2020100000","2020年度","04322","宮城県 村田町","","10,568","","1,337",""
"2020100000","2020年度","04323","宮城県 柴田町","","37,726","","5,436",""
"2020100000","2020年度","04324","宮城県 川崎町","","8,205","","908",""
"2020100000","2020年度","04341","宮城県 丸森町","","12,117","","1,329",""
"2020100000","2020年度","04361","宮城県 亘理町","","32,779","","4,785",""
"2020100000","2020年度","04362","宮城県 山元町","","11,977","","1,350",""
"2020100000","2020年度","04401","宮城県 松島町","","13,257","","1,529",""
"2020100000","2020年度","04404","宮城県 七ヶ浜町","","18,014","","2,518",""
"2020100000","2020年度","04406","宮城県 利府町","","34,963","","6,251",""
"2020100000","2020年度","04421","宮城県 大和町","","28,062","","4,855",""
"2020100000","2020年度","04422","宮城県 大郷町","","7,731","","1,055",""
"2020100000","2020年度","04424","宮城県 大衡村","","5,790","","1,044",""
"2020100000","2020年度","04444","宮城県 色麻町","","6,660","","1,044",""
"2020100000","2020年度","04445","宮城県 加美町","","21,767","","2,916",""
"2020100000","2020年度","04501","宮城県 涌谷町","","15,305","","1,854",""
"2020100000","2020年度","04505","宮城県 美里町","","23,912","","3,324",""
"2020100000","2020年度","04581","宮城県 女川町","","6,218","","710",""
"2020100000","2020年度","04606","宮城県 南三陸町","","12,061","","1,438",""
"2020100000","2020年度","05201","秋田県 秋田市","","302,311","","40,557",""
"2020100000","2020年度","05202","秋田県 能代市","","49,759","","5,475",""
"2020100000","2020年度","05203","秋田県 横手市","","85,023","","10,687",""
"2020100000","2020年度","05204","秋田県 大館市","","68,649","","8,167",""
"2020100000","2020年度","05206","秋田県 男鹿市","","25,082","","2,203",""
"2020100000","2020年度","05207","秋田県 湯沢市","","41,952","","4,628",""
"2020100000","2020年度","05209","秋田県 鹿角市","","28,942","","3,570",""
"2020100000","2020年度","05210","秋田県 由利本荘市","","74,032","","9,288",""
"2020100000","2020年度","05211","秋田県 潟上市","","31,549","","4,121",""
"2020100000","2020年度","05212","秋田県 大仙市","","77,124","","9,480",""
"2020100000","2020年度","05213","秋田県 北秋田市","","30,022","","3,075",""
"2020100000","2020年度","05214","秋田県 にかほ市","","23,347","","2,889",""
"2020100000","2020年度","05215","秋田県 仙北市","","24,483","","2,716",""
"2020100000","2020年度","05303","秋田県 小坂町","","4,747","","475",""
"2020100000","2020年度","05327","秋田県 上小阿仁村","","2,042","","140",""
"2020100000","2020年度","05346","秋田県 藤里町","","2,870","","251",""
"2020100000","2020年度","05348","秋田県 三種町","","15,208","","1,462",""
"2020100000","2020年度","05349","秋田県 八峰町","","6,529","","586",""
"2020100000","2020年度","05361","秋田県 五城目町","","8,520","","771",""
"2020100000","2020年度","05363","秋田県 八郎潟町","","5,557","","557",""
"2020100000","2020年度","05366","秋田県 井川町","","4,537","","451",""
"2020100000","2020年度","05368","秋田県 大潟村","","2,992","","440",""
"2020100000","2020年度","05434","秋田県 美郷町","","18,561","","2,250",""
"2020100000","2020年度","05463","秋田県 羽後町","","13,717","","1,601",""
"2020100000","2020年度","05464","秋田県 東成瀬村","","2,637","","274",""
"2020100000","2020年度","06201","山形県 山形市","","244,115","","35,788",""
"2020100000","2020年度","06202","山形県 米沢市","","80,502","","11,110",""
