調査年 コード,調査年,JCODE,地域,ALL,U14,A15.64,O65,U17
2020100000,2020年度,01100,北海道 札幌市,"1,973,395","215,366","1,185,724","541,242","262,403"
2020100000,2020年度,01101,北海道 札幌市 中央区,"248,680","23,868","157,719","57,544","28,860"
2020100000,2020年度,01102,北海道 札幌市 北区,"289,323","33,524","174,146","77,275","40,864"
2020100000,2020年度,01103,北海道 札幌市 東区,"265,379","29,912","160,813","68,282","36,263"
2020100000,2020年度,01104,北海道 札幌市 白石区,"211,835","22,500","135,635","53,160","27,122"
2020100000,2020年度,01105,北海道 札幌市 豊平区,"225,298","23,432","142,582","57,056","28,220"
2020100000,2020年度,01106,北海道 札幌市 南区,"135,777","13,291","72,469","47,992","16,505"
2020100000,2020年度,01107,北海道 札幌市 西区,"217,040","24,626","129,043","59,960","29,794"
2020100000,2020年度,01108,北海道 札幌市 厚別区,"125,083","12,724","71,427","40,922","15,931"
2020100000,2020年度,01109,北海道 札幌市 手稲区,"142,625","17,217","78,885","44,986","21,032"
2020100000,2020年度,01110,北海道 札幌市 清田区,"112,355","14,272","63,005","34,065","17,812"
2020100000,2020年度,01202,北海道 函館市,"251,084","23,560","134,953","89,257","29,651"
2020100000,2020年度,01203,北海道 小樽市,"111,299","9,169","55,643","45,426","11,768"
2020100000,2020年度,01204,北海道 旭川市,"329,306","34,691","178,060","112,411","43,350"
2020100000,2020年度,01205,北海道 室蘭市,"82,383","7,769","43,398","30,330","9,739"
2020100000,2020年度,01206,北海道 釧路市,"165,077","16,634","90,595","56,355","21,000"
2020100000,2020年度,01207,北海道 帯広市,"166,536","19,073","96,804","49,000","23,503"
2020100000,2020年度,01208,北海道 北見市,"115,480","12,014","63,217","38,841","14,871"
2020100000,2020年度,01209,北海道 夕張市,"7,334",411,"3,093","3,828",515
2020100000,2020年度,01210,北海道 岩見沢市,"79,306","7,859","42,391","28,880","9,930"
2020100000,2020年度,01211,北海道 網走市,"35,759","3,731","20,405","11,259","4,606"
2020100000,2020年度,01212,北海道 留萌市,"20,114","1,711","9,981","7,425","2,100"
2020100000,2020年度,01213,北海道 苫小牧市,"170,113","20,426","96,847","50,022","25,285"
2020100000,2020年度,01214,北海道 稚内市,"33,563","3,484","18,920","11,025","4,304"
2020100000,2020年度,01215,北海道 美唄市,"20,413","1,539","10,169","8,642","2,068"
2020100000,2020年度,01216,北海道 芦別市,"12,555",845,"5,705","5,995","1,053"
2020100000,2020年度,01217,北海道 江別市,"121,056","13,400","69,555","36,783","16,715"
2020100000,2020年度,01218,北海道 赤平市,"9,698",603,"4,280","4,669",773
2020100000,2020年度,01219,北海道 紋別市,"21,215","1,971","11,515","7,697","2,447"
2020100000,2020年度,01220,北海道 士別市,"17,858","1,652","8,803","7,350","2,060"
2020100000,2020年度,01221,北海道 名寄市,"27,282","3,018","15,232","8,747","3,632"
2020100000,2020年度,01222,北海道 三笠市,"8,040",655,"3,566","3,819",882
2020100000,2020年度,01223,北海道 根室市,"24,636","2,396","13,370","8,648","2,965"
2020100000,2020年度,01224,北海道 千歳市,"97,950","13,012","62,066","22,690","15,648"
